Title,actor,action,action direction,headline stance
Ted Cruz Says Critical Race Theory Is  Every Bit As Racist As The Klansmen In White Sheets,political influencers,threats/extent,anti-CRT,anti-CRT
States Must Fight Racism by Banning Critical Race Theory,political influencers,policy & legal,anti-CRT,anti-CRT
Chris Krok Show : Is This the Beginning of the End for CRT ?,political influencers,threats/extent,neutral,neutral
Teacher slammed for TikTok rant about breaking law to teach critical race theory :  Teach your cats,educational practitioners,protest / speaking out,anti-CRT,anti-CRT
"The Federal Hammer , Parents and Critical Race Theory By John Kass",impacted actors,none/other,neutral,neutral
"Democrat - Led States Using COVID Relief Cash to Push CRT in Public Schools , Including  Equity Warriors",political influencers,threats/extent,defending CRT,anti-CRT
Battle over critical race theory reaches San Diego school districts,political influencers,threats/extent,neutral,neutral
Virginia Rep . Bob Good : Critical Race Theory Violates Civil Rights,political influencers,threats/extent,anti-CRT,anti-CRT
"Critical race theory , transparency hot topics at school board candidate forum",political influencers,elections,neutral,neutral
Valley News - Critical race theory debate lingers,none / other,none/other,neutral,neutral
"Mr . Crim , Is This True ?: Black History Teacher Viral TikTok Series Bypasses CRT to Inform Millions on the Real History of America",educational practitioners,protest / speaking out,anti-CRT,anti-CRT
Today lesson is [ REDACTED ]. Is the GOP using critical race theory to ban discussion of race in schools ?,political influencers,policy & legal,anti-CRT,defending CRT
"Ted Cruz Trashed For Grilling Ketanji Brown Jackson On CRT , 1619 Project",political influencers,none/other,anti-CRT,defending CRT
Zinn Project Urges Teachers to Defy Laws Banning Critical Race Theory,educational practitioners,protest / speaking out,defending CRT,defending CRT
Teaching Critical Race Theory in schools raises controversy,educational practitioners,threats/extent,neutral,neutral
Youngkin Shuts Down Hotline Where Parents Could Report CRT,political influencers,policy & legal,defending CRT,neutral
Critical race theory : What you need to know in Michigan,none / other,none/other,neutral,neutral
Local schools anticipate no changes after Critical Race Theory ban,educational practitioners,threats/extent,anti-CRT,defending CRT
Continental school prohibits Critical Race Theory concepts in classrooms,educational practitioners,policy & legal,anti-CRT,neutral
Biden signs Emmett Till Antilynching Act as CRT bans restrict talk of race,political influencers,policy & legal,defending CRT,defending CRT
"Critical Race Theory Aims to Turn Students Into  Red Guards , Chinese American Warns By Terri Wu",impacted actors,threats/extent,anti-CRT,anti-CRT
GOP state lawmakers introduce 12 new bills to ban critical race theory,political influencers,policy & legal,anti-CRT,neutral
Critical Race Theory : Hoosier leaders share diverse views,political influencers,none/other,neutral,neutral
Where Are Black Parent Voices on Critical Race Theory ?,impacted actors,protest / speaking out,neutral,neutral
New education policy bill takes aim at  critical race theory,political influencers,policy & legal,anti-CRT,neutral
Ilhan Omar claims Critical Race Theory not being taught in school :  Republicans love to create outrage,political influencers,none/other,defending CRT,defending CRT
"College Orientations Indoctrinate Students in Critical Race Theory , Says Free Speech Group",impacted actors,threats/extent,anti-CRT,anti-CRT
Indiana AG Todd Rokita leads multi - state effort to oppose critical race theory in schools,political influencers,policy & legal,anti-CRT,neutral
Critical race theory tip line from Va . governor sparks school concerns,political influencers,protest / speaking out,anti-CRT,neutral
Critical race theory  bill gets first vote from Kentucky lawmakers,political influencers,policy & legal,anti-CRT,neutral
Inside Southlake : Superintendent at the Center of a Critical Race Theory Battle Looks Forward,educational practitioners,protest / speaking out,neutral,neutral
Reuters Gaslights Readers About Critical Race Theory,political influencers,threats/extent,anti-CRT,anti-CRT
Georgia Gov . Urges Educators Not to Teach Critical Race Theory  Dangerous Ideology,political influencers,threats/extent,anti-CRT,anti-CRT
"Hazel McFerson , scholar of critical race theory , dies at 78",none / other,none/other,neutral,neutral
Indiana teachers predict mass exodus over CRT - inspired bill granting parental oversight,educational practitioners,policy & legal,neutral,neutral
House Republicans Investigate If COVID - 19 Relief Funds Were Used for CRT in Schools,political influencers,threats/extent,anti-CRT,neutral
Here The First State To Introduce Bill Banning Marxist Critical Race Theory From Public Schools : US : Christianity Daily,political influencers,policy & legal,anti-CRT,anti-CRT
Critical race theory sticking point among Arkansas Senate District 22 candidates,political influencers,elections,neutral,neutral
"Critical Race Theory is Being Taught , and Has Been for Years , Tucker Carlson Highlights",political influencers,threats/extent,neutral,neutral
Schools swear they dont teach CRT . Theyre lying -- Society Child -- Sott . net,educational practitioners,threats/extent,anti-CRT,anti-CRT
Critical race theory teach bans killed or stalled in many states,political influencers,policy & legal,defending CRT,neutral
"Gov . DeSantis Goes on Offense Against CRT , Proposes Stop WOKE Act",political influencers,policy & legal,anti-CRT,neutral
"Editorial : Need to teach critical thinking when teaching history , race",educational practitioners,none/other,defending CRT,defending CRT
"Fears about CRT , masks turned local races into battlegrounds",impacted actors,elections,neutral,neutral
curiousKC | A Guide to Learn ( and Demystify ) Critical Race Theory,none / other,none/other,defending CRT,defending CRT
Youd better believe theyre teaching CRT in schools,educational practitioners,threats/extent,defending CRT,anti-CRT
Opinion | Let Talk About Critical Race Theory Bans in Schools,none / other,policy & legal,anti-CRT,neutral
Senate passes CRT Bill,political influencers,policy & legal,anti-CRT,neutral
Tennessee bans teaching of critical race theory in schools,political influencers,policy & legal,anti-CRT,neutral
Number of teachers pledging to teach Critical Race Theory in Surprise stagnates at two,educational practitioners,protest / speaking out,neutral,neutral
Nebraska governor backs university anti - CRT resolution amid backlash,political influencers,protest / speaking out,anti-CRT,neutral
The Push Against Teaching Critical Race Theory in Schools is Growing,none / other,protest / speaking out,anti-CRT,neutral
Critical Race Theory Mississippi,none / other,none/other,neutral,neutral
Scholar : The fight against CRT is one of national survival,none / other,protest / speaking out,anti-CRT,anti-CRT
No new teachers in Downers Grove sign pledge on Sept . 19 to teach Critical Race Theory,educational practitioners,protest / speaking out,anti-CRT,neutral
Critical race theory in the schools,none / other,none/other,neutral,neutral
Concerns About Critical Race Theory At The School Board Meeting,political influencers,threats/extent,anti-CRT,neutral
Critical Race Theory Investigator Christopher Rufo :  This Is How the Media Lies,political influencers,protest / speaking out,neutral,anti-CRT
General Milley is clueless on critical race theory,political influencers,threats/extent,neutral,neutral
Teachers Unions Push CRT in Schools,educational practitioners,protest / speaking out,defending CRT,neutral
Department of Education wisely retreats from critical race theory,educational practitioners,policy & legal,anti-CRT,anti-CRT
What to look for in a CRT monitor : The ultimate guide for retro gamers,,,,
Letter : A response to letter about Critical Race Theory,none / other,protest / speaking out,neutral,neutral
LETTERS TO THE EDITOR : Lies about Critical Race Theory,none / other,protest / speaking out,neutral,neutral
Here What You Need To Know About A Texas Bill That Aims To Ban Critical Race Theory,political influencers,policy & legal,anti-CRT,neutral
Freddie Mac CRT Program Reports 2021 Issuance Of Nearly $20B,,,,
Critical Race Theory Is a Potent Issue in the Virginia Governor Race,political influencers,elections,neutral,neutral
Critical Race Theory Bill Introduced In Senate,political influencers,policy & legal,neutral,neutral
Ann Coulter : What Dumber Than CRT ? CNN,political influencers,protest / speaking out,anti-CRT,anti-CRT
Wisconsin assembly passes bill banning critical race theory in the classroom,political influencers,policy & legal,anti-CRT,neutral
No new teachers in Glen Ellyn sign pledge on Oct . 19 to teach Critical Race Theory,educational practitioners,protest / speaking out,anti-CRT,neutral
"WATCH : Parents , Activists Protest CRT at Texas School Board Meeting",impacted actors,protest / speaking out,anti-CRT,neutral
CRT In the Legislature,none / other,policy & legal,neutral,neutral
Critical Race Theory not taught in some local school districts,educational practitioners,threats/extent,anti-CRT,neutral
How a Texas school got caught up the critical race theory fight,none / other,none/other,neutral,neutral
Some Schools Pay to Push CRT Curriculum at the Literal Expense of Everything Else,educational practitioners,threats/extent,defending CRT,anti-CRT
Ted Cruz questions Ketanji Brown Jackson about  critical race theory,political influencers,protest / speaking out,anti-CRT,neutral
Biden Ed . Dept : Pushing CRT activist handbook was an  error  | Politics News,political influencers,none/other,anti-CRT,neutral
Nick Reed PODCAST : 07 . 23 – CRT Popping Up In More MO Schools,none / other,threats/extent,defending CRT,neutral
The Left Assault on  Racist  Math Continues : DeSantis Rejects CRT - Riddled Textbooks,political influencers,threats/extent,anti-CRT,anti-CRT
Indiana school administrator : Youd better believe we teach CRT -- and lie to parents about it,educational practitioners,threats/extent,defending CRT,anti-CRT
"Lawmakers : COVID relief funds paid for  equity warriors , CRT lessons in public schools | Latest News",political influencers,threats/extent,defending CRT,anti-CRT
So What The Deal With Critical Race Theory,none / other,none/other,neutral,neutral
COMMENTARY : The truth about CRT,none / other,none/other,neutral,neutral
McAuliffe cant define CRT but calls opponents  racist,political influencers,elections,anti-CRT,anti-CRT
Bill banning critical race theory in school advances,political influencers,policy & legal,anti-CRT,neutral
"CURRICULUM CONTROVERSY : District responds to claims it will implement CRT , gender identity lessons",educational practitioners,threats/extent,defending CRT,anti-CRT
Report sparks debate over bans on critical race theory,none / other,policy & legal,neutral,neutral
Letter to the Editor : CRT is racism,none / other,threats/extent,anti-CRT,anti-CRT
10 Things in Politics : Educators Scramble Over CRT,educational practitioners,threats/extent,neutral,neutral
Local Parents Speak Out Against Critical Race Theory | News Radio 101 . 9 Big WAAX,impacted actors,protest / speaking out,anti-CRT,neutral
DeSantis hopes to block Critical Race Theory from Florida classrooms,political influencers,policy & legal,anti-CRT,neutral
Guest commentary : Legislation on critical race theory isnt a good idea,political influencers,policy & legal,defending CRT,defending CRT
Racist CRT Lessons in Public School Classrooms,educational practitioners,threats/extent,anti-CRT,anti-CRT
Black Senators Walk Out As Mississippi Lawmakers Pass A Bill To Ban Critical Race Theory,political influencers,protest / speaking out,defending CRT,neutral
New Report Shatters Media Lie That CRT Isnt Taught In Virginia Schools,political influencers,threats/extent,anti-CRT,anti-CRT
Kristi Noem Pens Bill Blocking Critical Race Theory in South Dakota Schools,political influencers,policy & legal,anti-CRT,neutral
Republicans unveil bill to ban federal funding of critical race theory,political influencers,policy & legal,anti-CRT,neutral
Florida bans  critical race theory  from its classrooms,political influencers,policy & legal,anti-CRT,neutral
GOP : The Fight Against Critical Race Theory Has Only Just Begun,political influencers,none/other,anti-CRT,anti-CRT
Thomas Gallatin : Backlash Against CRT Is Growing The Patriot Post,political influencers,protest / speaking out,anti-CRT,neutral
"CRT : What it is , what to do",none / other,none/other,neutral,neutral
Critical race theory : The education trap,none / other,threats/extent,anti-CRT,anti-CRT
The Controversy Over Critical Race Theory Is Creeping Into Kansas Schools,none / other,none/other,neutral,neutral
Republicans Move Against Teaching Critical Race Theory in Schools,political influencers,policy & legal,anti-CRT,neutral
PODCAST : 05 . 22 - Critical Race Theory,none / other,none/other,neutral,neutral
Stand Up And Demand Accountability : Tulsa Schools Warned For Violating CRT Ban,educational practitioners,protest / speaking out,anti-CRT,anti-CRT
Gov . Youngkin Defends Ending CRT In Virginia School Children Education,political influencers,protest / speaking out,anti-CRT,neutral
Banned Florida Math Books : See Examples of CRT in Textbooks – NBC 6 South Florida,none / other,threats/extent,anti-CRT,neutral
Joe Biden Wants to Take Critical Race Theory to the Next Level,political influencers,none/other,defending CRT,neutral
Anti - CRT  school board candidates are winning,political influencers,elections,anti-CRT,neutral
"Critical race theory : Myths , Marxism and more",none / other,threats/extent,anti-CRT,anti-CRT
Mom At Center Of CRT Revelations :  Parents Are Not Domestic Terrorists,impacted actors,protest / speaking out,anti-CRT,anti-CRT
Critical race theory undermines military effectiveness,none / other,none/other,anti-CRT,anti-CRT
The Battle Against Critical Race Theory,none / other,protest / speaking out,anti-CRT,neutral
"Masks , critical race theory affecting school board races",political influencers,elections,neutral,neutral
New e - book aims to help parents  combat  CRT in schools,impacted actors,protest / speaking out,anti-CRT,anti-CRT
Bill banning critical race theory in Arizona heads to committee,political influencers,policy & legal,anti-CRT,neutral
Educators Sue Missouri School District for Critical Race Theory Training,educational practitioners,policy & legal,anti-CRT,neutral
Critical Race Theory : What Christians Need to Know,none / other,none/other,anti-CRT,anti-CRT
Parents against critical race theory,impacted actors,protest / speaking out,anti-CRT,neutral
Let honor Martin Luther King Jr . today by rejecting critical race theory,none / other,protest / speaking out,anti-CRT,anti-CRT
FLORIDA SAYS  NO : DeSantis Unveils  Stop WOKE Act  to Remove CRT from  Schools and Workplaces,political influencers,policy & legal,anti-CRT,anti-CRT
CRT Boosts Heart Failure Survival in Extended Follow - Up,,,,
Moms Threatened With Lawsuit For Questioning CRT Curriculum,impacted actors,policy & legal,defending CRT,anti-CRT
Short Interest in Cross Timbers Royalty Trust ( NYSE : CRT ) Grows By 333 . 3 %,,,,
Teachers union will defend members on critical race theory,educational practitioners,protest / speaking out,defending CRT,neutral
Masks And CRT Are Just The Start : It Time To Break Public Schools,none / other,threats/extent,anti-CRT,anti-CRT
Idaho House And Senate Pass Bill Banning Critical Race Theory In Schools,political influencers,policy & legal,anti-CRT,neutral
Georgia Board of Education targets teaching of  critical race theory  | State,political influencers,policy & legal,anti-CRT,neutral
Oklahoma House OKs ban on teaching critical race theory,political influencers,policy & legal,anti-CRT,neutral
CRT is dividing Democrats and rallying Republicans,political influencers,none/other,neutral,neutral
Biden Set to Push Critical Race Theory on U . S . Schools,political influencers,policy & legal,defending CRT,anti-CRT
What Is Critical Race Theory Anyway ?,none / other,none/other,neutral,neutral
"Space Force Officer Relieved After Denouncing Marxism , Critical Race Theory in Military",political influencers,none/other,defending CRT,neutral
Critical race theory discussions surface across county,none / other,protest / speaking out,neutral,neutral
Demonizing Critical Race Theory | History News Network,none / other,none/other,anti-CRT,defending CRT
Florida rejects 54 new math textbooks citing critical race theory,political influencers,policy & legal,anti-CRT,neutral
Tenn . House passes bill to ban funding of schools teaching CRT | Politics,political influencers,policy & legal,anti-CRT,neutral
"UCLA database reveals well - funded push for critical race theory , argues Cornell law professor",political influencers,protest / speaking out,defending CRT,neutral
Bill Banning Critical Race Theory Fails Introduction in Wyoming,political influencers,policy & legal,defending CRT,neutral
"100 % projection : Joy Reid slammed for smearing opponents of CRT as racist , terrified radicals",political influencers,protest / speaking out,anti-CRT,anti-CRT
Parents Defending Education fights critical race theory in schools,impacted actors,protest / speaking out,anti-CRT,neutral